sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKFoodType,HKExternalUUID
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 03:32:01 +0000,2023-09-12 03:32:01 +0000,kcal,131.6,Fettarme H-Milch,ff476586-0819-49c1-99f5-ec0cb5f5a2ec
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 05:57:29 +0000,2023-09-12 05:57:29 +0000,kcal,37.599999999999994,Fettarme H-Milch,0718c826-08f2-4322-b7f8-8d5dadfff483
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 08:57:45 +0000,2023-09-12 08:57:45 +0000,kcal,28.5,"Milchkaffee (Cafe Latte, Kaffee mit Milch)",36bd9a2c-e59d-4343-a592-b254d51cd301
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 08:57:51 +0000,2023-09-12 08:57:51 +0000,kcal,59.400000000000006,Apfel,9f63c8f8-9102-4eaf-8234-bb435ca6c7c1
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 08:58:00 +0000,2023-09-12 08:58:00 +0000,kcal,214.62,PiCK UP! Choco,8e285435-4ba2-4315-81a5-a10c2e09d16d
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 11:11:52 +0000,2023-09-12 11:11:52 +0000,kcal,626.4,Döner Kebab,a3917a34-f40b-409c-92ae-3ce036bc5560
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 13:46:59 +0000,2023-09-12 13:46:59 +0000,kcal,54.0,Apfel,1c5b079a-5ea3-4cc8-a283-8d1a6323998c
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 13:47:06 +0000,2023-09-12 13:47:06 +0000,kcal,48.0,"Pflaumen (Zwetschgen), frisch",1d09359a-ba88-4802-b336-65493c00b1ba
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 18:56:44 +0000,2023-09-12 18:56:44 +0000,kcal,218.79999999999998,Alpenvollmilchschokolade,34896ece-2576-4150-b681-9ec51fe11254
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 18:59:32 +0000,2023-09-12 18:59:32 +0000,kcal,145.29,Nuss Frucht Mix,ad93e395-0332-44f2-93ac-2892f361f250
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 18:59:34 +0000,2023-09-12 18:59:34 +0000,kcal,165.0,Magerquark,2e40b745-bca7-4d98-a297-4784331cff27
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 19:23:31 +0000,2023-09-12 19:23:31 +0000,kcal,102.0,Hähnchenbrustfilet gebraten,4e73c32a-be32-4773-9dec-92c9704bf1b2
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 19:27:44 +0000,2023-09-12 19:27:44 +0000,kcal,125.46000000000001,Hähnchenbrustfilet gebraten,9912b19d-2c5f-4981-811d-bb58fc6d402d
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 19:27:48 +0000,2023-09-12 19:27:48 +0000,kcal,76.5,Ei hart gekocht,1f109b02-fca9-4dcd-9f39-79c86f9be1d5
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 19:27:55 +0000,2023-09-12 19:27:55 +0000,kcal,51.9,Sauce süß-sauer,e3b98af0-d691-4fc3-a535-48562c751724
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 19:31:17 +0000,2023-09-12 19:31:17 +0000,kcal,125.46000000000001,Hähnchenbrustfilet gebraten,06b470d6-fad0-4994-b108-5571c134375d
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 19:31:20 +0000,2023-09-12 19:31:20 +0000,kcal,114.75,Ei hart gekocht,e9b1f48f-dc07-4947-b011-3e6980357d8e
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-12 19:31:41 +0000,2023-09-12 19:31:41 +0000,kcal,176.8,Olivenöl,1a5e2818-cf9d-4e3f-8ba0-72e95e42f5cd
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 04:27:51 +0000,2023-09-13 04:27:51 +0000,kcal,146.73,Pfannkuchen,72702045-17be-468c-baae-064f46fdc13e
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 04:28:01 +0000,2023-09-13 04:28:01 +0000,kcal,54.0,3 in 1 Café Latte,0176e399-9286-4e77-9a67-6c567e2c2f39
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 04:28:07 +0000,2023-09-13 04:28:07 +0000,kcal,114.6,Designer Whey Protein,6072af46-3d5a-4243-9754-0fe7d3d21b91
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 04:28:07 +0000,2023-09-13 04:28:07 +0000,kcal,182.0,"Kuhmilch (Vollmilch) 3,5% Fett",b85a470b-5610-4036-80f9-ea1d05595b46
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 06:50:27 +0000,2023-09-13 06:50:27 +0000,kcal,1.2,Espresso,99ff6077-fe59-4dd0-bc79-5b76657c0d00
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 06:50:27 +0000,2023-09-13 06:50:27 +0000,kcal,70.5,Fettarme H-Milch,13e58e0c-6976-4e8a-b3d1-57ce44d76e6e
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 08:35:23 +0000,2023-09-13 08:35:23 +0000,kcal,24.0,"Pflaumen (Zwetschgen), frisch",e699be41-13d1-4127-9bb4-64f60c3f301e
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 08:35:28 +0000,2023-09-13 08:35:28 +0000,kcal,59.400000000000006,Apfel,ed4e9c6c-e9ce-492b-8513-bd493209d3fc
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 08:35:35 +0000,2023-09-13 08:35:35 +0000,kcal,49.1,Snickers,eebadd32-1f7f-4f30-a0cd-ae604bf2f83a
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 11:01:44 +0000,2023-09-13 11:01:44 +0000,kcal,776.0,Vegetarischer Salatteller,280bfb54-ac3f-43c0-a415-500fb37a1fcb
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 11:31:12 +0000,2023-09-13 11:31:12 +0000,kcal,113.00009999999999,Flat White,b66cb8da-568b-4a12-bbac-07172b60c4db
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 17:11:42 +0000,2023-09-13 17:11:42 +0000,kcal,599.5,Whopper,6d791ffa-844f-464e-ac40-3783eb0c1cd7
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 17:11:53 +0000,2023-09-13 17:11:53 +0000,kcal,95.69999999999999,Bio-Rhabarbersaftschorle,cdd9a0b3-b11b-44d5-bd71-88340fb9ffe5
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 17:12:01 +0000,2023-09-13 17:12:01 +0000,kcal,433.5,Pommes Frites,e92c2f3b-ecb5-4b28-9702-c123834b82b2
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-13 19:02:30 +0000,2023-09-13 19:02:30 +0000,kcal,185.85,Strawberry yogurt Protein riegel,153cbb6d-9e26-4feb-8595-f2afd4ad5e26
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:25:12 +0000,2023-09-14 06:25:12 +0000,kcal,217.35000000000002,Rührei,a47cc55c-b155-4f12-ba28-5386d1f70e2c
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:25:43 +0000,2023-09-14 06:25:43 +0000,kcal,142.45,Laugenstange,dc149974-ee1d-4e2f-8bbd-ed050481d6bb
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:26:27 +0000,2023-09-14 06:26:27 +0000,kcal,59.28,Butter,b8d0681e-39ca-4be3-a011-10822ad82af7
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:26:34 +0000,2023-09-14 06:26:34 +0000,kcal,36.3,Kochschinken (Vorderschinken),5861b29e-f738-490b-bf8f-2076b620b22d
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:33:11 +0000,2023-09-14 06:33:11 +0000,kcal,59.0,Joghurt 10% Fett,b783d646-1a4b-45ff-b871-5f3416e64487
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:33:23 +0000,2023-09-14 06:33:23 +0000,kcal,52.2,Vollkornmüsli,2a0baee7-df83-4ae9-bc0f-1cf58465616a
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:33:39 +0000,2023-09-14 06:33:39 +0000,kcal,71.0,Vanillequark (Topfen),e6ba3fab-b905-4ba0-a423-0f4bb97740ab
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 06:34:15 +0000,2023-09-14 06:34:15 +0000,kcal,45.900000000000006,Apfel,c315a4f5-dd21-46b8-abe5-ce466fc765fb
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 08:39:00 +0000,2023-09-14 08:39:00 +0000,kcal,92.44299999999998,Alpenmilch,947bc90e-7972-4a3a-8612-adb8caa9ac9d
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 08:39:06 +0000,2023-09-14 08:39:06 +0000,kcal,59.400000000000006,Apfel,20b57406-7bf8-47bb-8a35-9ccfad7c7741
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 10:48:34 +0000,2023-09-14 10:48:34 +0000,kcal,153.0,Süßkartoffel-Pommes,36550336-fd25-49f2-8ffa-9729224348f2
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 10:48:42 +0000,2023-09-14 10:48:42 +0000,kcal,87.6,Hummus,2f4bb572-c5c8-45e2-87fb-cdd1b6dd3e6b
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-14 10:49:03 +0000,2023-09-14 10:49:03 +0000,kcal,165.6,"Avocado, frisch",717510ca-d86f-4ef2-8de8-e2559394ad9d
