sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKExternalUUID
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,ea9b25e7-5dfb-4f14-ae7f-9d6ef54e5d56
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,f68db1a3-d8f3-4598-bd6e-67709afc3b56
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,58da117e-93aa-4473-8ce3-244286df412b
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,7021c7ab-62fc-4145-8991-d100a631fc4e
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,b62e3682-3038-43be-a0da-0c411a9d44c9
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,8a13c6c4-a49f-481e-b991-8428f811ef37
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,1826f10d-cb86-4db7-ab8c-ca3abc0edcd1
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,ce927287-1d27-455f-acb8-947c350b0d3e
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,73ebc733-9177-48ae-902f-7c5e2acca5d9
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,9eb5668c-0e3b-49e9-b5b2-8e88f90ae3a7
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,e9c97171-38c9-4dae-8d81-6cb0201d447b
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,668d717b-9741-4774-9cc3-03d3813867ef
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,897c3921-8b0b-4099-8562-b8b2f9c64b2a
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,706896f7-511f-449e-a06d-f1d73eede4d2
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,37cbe701-bc26-4f3e-bf23-62653f69ade3
HKQuantityTypeIdentifierBodyMass,YAZIO,1651,"Watch4,2",,2023-09-25 04:54:01 +0000,2023-09-25 04:54:01 +0000,kg,93.05000305175781,63f6696e-09ac-41f2-a203-a579faf364e6
